GridID,total_sms_count,average_sms_count,total_call_time,average_call_time
1016,43.33360046199751,0.26915279790060564,26.251134017364883,0.22059776485180574
1005,37.75939792184338,0.22342839007007917,32.547301993728176,0.2465704696494559
101,104.86955549377635,0.7490682535269739,88.46326814951925,0.7626143805993039
1019,33.53904968598225,0.2599926332246686,40.43022432601335,0.3925264497671199
1008,66.23530953679898,0.41657427381634576,69.55525720668172,0.5520258508466803
1,103.70859055918585,0.7355219188594742,87.18820022705636,0.7326739514878685
10000,212.72863110637678,1.6238826802013495,215.13838372756578,1.992022071551535
1010,46.18755521905197,0.31853486357966876,27.93330993799899,0.24940455301784814
1002,36.746077444003916,0.23257011040508807,31.06220693618884,0.2654889481725542
1017,40.706934389128904,0.2846638768470553,24.07009588569746,0.21491157040801304
100,65.17818300179225,0.5172871666808908,79.35578948625886,0.6504572908709743
1015,59.82274061336224,0.4125706249197396,39.3349039245411,0.35759003567764636
1000,295.9225321248061,2.241837364581864,367.86061498461015,3.3140595944559474
1001,35.78988170056267,0.27744094341521447,30.250363145216536,0.29369284607006346
1006,43.84465861503158,0.264124449488142,32.49351167226831,0.2538555599395962
102,45.518521415939205,0.5761838153916355,38.57040574337677,0.5432451513151657
10,77.52417259720212,0.5658698729722783,70.86360684725405,0.610893162476328
1007,38.28657996692333,0.2392911247932708,28.61017611085962,0.22178431093689627
1003,34.80709337694012,0.2617074689995498,29.53851139504507,0.268531921773137
1014,60.479624974594124,0.41999739565690364,39.60289486703559,0.35359727559853205
1018,36.7969320525381,0.27460397054132907,30.969150369615193,0.27900135468121795
1004,43.23272765765975,0.2901525346151661,36.73427953625502,0.31942851770656544
1011,49.35414452532657,0.34037341051949355,30.708773353117643,0.2741854763671218
1012,56.47860252628625,0.3895076036295604,37.02918584030293,0.33061773071699047
1013,60.688521425293395,0.4185415270709889,40.29699996960491,0.35979464258575816
1009,44.10381028376479,0.3041642088535503,25.87709851100597,0.23104552241969614
