countrycode,total_internet_transfer,average_internet_transfer
34,1.0570790463773003,0.05563573928301581
81,0.0798593575577967,0.0798593575577967
44,0.9161302709077244,0.03817209462115518
47,0.1306120660070942,0.026122413201418844
353,0.1449387611420051,0.005368102264518708
1,0.7107497975335891,0.04442186234584932
86,0.24248754047407292,0.02694306005267477
852,0.0936314247986359,0.031210474932878634
40,0.0434120320352733,0.008682406407054661
48,0.1572037667898999,0.019650470848737486
41,3.272409730623303,0.025971505798597642
43,0.6323578963327855,0.02432145755126098
61,0.055115660599345,0.055115660599345
39,26007.686159862962,7.063467180842738
49,3.37381308428533,0.018436137072597433
7,0.1963805287681277,0.032730088128021285
45,0.055115660599345,0.055115660599345
351,0.0034790616326096,0.0017395308163048
32,1.159107039189541,0.018398524431580018
33,8.256130382455225,0.030353420523732445
421,0.0477323780935563,0.00954647561871126
46,6.996306720761542,0.010052164828680377
88239,0.504121728494429,0.014003381347067474
420,0.1102350817158746,0.022047016343174918
36,0.0370143117337465,0.0030845259778122087
31,0.11023132119869,0.055115660599345
358,0.055115660599345,0.055115660599345
55,0.0071725831440962,0.002390861048032067
234,0.0800995970142345,0.0800995970142345
82,0.1206336123861339,0.1206336123861339
90,0.055115660599345,0.055115660599345
