GridID,total_internet_transfer,average_internet_transfer
1016,585.3917136616146,2.5232401450931663
1005,496.41339501751816,1.5042830152046005
101,1508.9231892665225,9.20075115406416
1019,600.2734671003625,3.70539177222446
1,1507.0483488105,9.024241609643713
1008,801.2085061009722,2.7251990003434425
10000,3042.9882398127456,17.095439549509805
1010,651.7440367849379,3.5229407393780425
1002,628.4175609035567,2.7086963832049857
1017,597.1508173532807,3.2278422559636795
100,2749.3795604804413,9.480619174070487
1015,666.0260104623623,3.2971584676354566
1000,3823.8112655383175,18.472518191006365
1001,635.5947615464431,4.1272387113405395
1006,522.349801382321,2.106249199122262
1007,410.0341753531351,1.5650159364623477
10,912.280072411937,5.631358471678624
102,652.995478285298,5.223963826282383
1003,619.0309975063149,3.4390610972573046
1014,669.521278527451,3.619033937986222
1018,625.5887317113709,3.7460403096489276
1004,655.138222122653,3.4300430477625814
1011,662.0140450105062,3.5784542973540874
1012,687.5219699920217,3.716334972929847
1013,687.8269199974882,3.717983351337774
1009,637.7173864867191,3.4471210080363193
